"name","description","publication_date","sallary","region_name","employer","skills","work_experience","work_schedule"
аналитик данных (junior),"ооо &quot;рн-карт&quot; является главным процессинговым центром корпоративной системы безналичных расчетов пао &quot;нк &quot;роснефть&quot; - лидера российской нефтяной отрасли. также мы являемся лидером на рынке топливного бизнеса по объемам реализации моторного топлива посредством топливных карт «роснефть».  мы предлагаем:   стабильность и надежность: работа в крупной российской компании, полное соблюдение трудового законодательства, ежемесячный официальный доход. удобный график работы: 5/2, пн-чт: с 09.00 до 18.00, пт: с 09.00 до 16.45. социальный пакет: программа дмс, страхование от несчастных случаев, корпоративная мобильная связь, материальная помощь, доплата к больничным, дополнительные дни отпуска по семейным обстоятельствам, ипотечная программа, негосударственное пенсионное обеспечение, специальные условия от корпоративного банка и пр. комфортный и удобно расположенный офис: в пешей доступности от м. шаболовская.  чем предстоит заниматься:  проведение анализа реализации общества в различных срезах. выявление факторов, влияющих на изменение поведения клиентов, предоставление информации руководству с предложением изменений, направленных на увеличение реализации. анализ клиентской базы, сегментирование клиентов, выявление потребностей, характерных для определённых групп клиентов. определение поведенческих моделей различных групп клиентов. подготовка, расчёт и установление плановых показателей для сотрудников коммерческого блока. закрытие фактического выполнения и расчёт коэффициента премирования.  будем рады видеть вас в команде, если у вас есть:  высшее образование. приветствуется дополнительное образование в сфере программных продуктов. продвинутый уровень microsoft excel, знание программного продукта power bi. ответственность, инициативность. ",2023-12-08,28906,москва,рн-карт,разработка bi;microsoft excel;microsoft office;microsoft powerpoint,"1-3",полный день
bi/data-аналитик,"1221systems – аккредитованная it-компания, специализирующаяся на разработке it-решений для бизнеса розничной и оптовой торговли. наша компания выполняет разработку it-продуктов группы компании &quot;сладкая жизнь&quot; – одного из крупнейших дистрибьюторов продуктов питания в россии. на данный момент находимся в поиске bi/data-аналитика на проект по разработке системы лояльности с составом команды около 30 человек. на проекте отсутствует legacy, проектируем решение с нуля. чем предстоит заниматься? в рамках проекта программы лояльности мы проектируем bi-платформу, которая будет подключаться к нескольким источникам данных разных заказчиков и формировать сложные отчёты по десяткам показателей. наш bi – это не только настройка визуализации отчётности, но и построение olap-кубов, анализ данных в имеющихся источниках данных (в том числе, проектирование новых dwh, маппинг данных из имеющихся источников данных в новую платформу и организация всего процесса etl). проект будет поддержан со стороны интегратора с последующей передачей проекта нам на самостоятельную поддержку. какие задачи будут в работе:  с нуля организовать разработку bi-модуля программы лояльности: от построения требований и коммуникации с заказчиками до контроля сроков интегратора; провести анализ данных в имеющихся источниках, совместно с интегратором определить архитектуру нового решения; непосредственно заниматься маппингом данных, поддержкой актуальности маппинг-таблиц и необходимых скриптов; настраивать дашборды и отчёты для пользователей; обучение и взаимодейтсвие с пользователями.  что потребуется для решения задач:  уверенное знание python и sql; уверенное знание excel на уровне, достаточном для построения сложных отчётов и сводных таблиц и olap-кубов; опыт работы с postgersql, clickhouse; умение строить etl-пайплайны; владение методами статистического анализа; опыт работы в качестве data- или bi-аналитика или bi-инженера.  будет преимуществом:  опыт работы с отчётами для маркетинга, закупок; опыт работы с apache superset / power bi / tableau / qlik / datalens.  мы предлагаем:  оформление по тк, полностью белая конкурентная зарплата; программа кафетерия льгот после испытательного срока (дмс, компенсация затрат на изучение английского языка, занятия спортом, путешествия для себя и семьи, оборудование для удалённого рабочего места); 4 дополнительных оплачиваемых day off для лечения в течение года; программа адаптации, обучения, разработка индивидуального плана развития; посещение за счёт компании топовых профильных конференций; комплект необходимого для работы оборудования; удалённый режим работы, гибкое начало рабочего дня; для нижегородцев классный офис в центре города с террасой и видом на кремль; демократичные отношения с руководством, все идеи обсуждаются с участием команды; офлайн и онлайн корпоративы, подарки для сотрудников и их детей. ",2023-12-15,28906,москва,"1221системс","","3-6",удаленная работа
старший аналитик данных,"ищем коллегу в команду глубокой аналитика шпд билайн. цель проекта – обеспечение процесса принятия решений и управления фиксированным бизнесом на основе анализа данных (data-driven подход). поиск источников данных, создание новых метрик, проверка гипотез, построение моделей для анализа и принятия решений.итак, вам предстоит:  формирование выгрузок с помощью sql-запросов и python; взаимодействие с разработчиками и аналитиками по вопросам качества данных; проведение анализа данных и проверка гипотез, сегментирование, выявление паттернов при помощи инструментов программирования и анализа данных; проводить поиск и анализ источников данных, необходимых для построения инструментов анализа; разрабатывать математические модели (прогнозирование/оптимизация) для применения в инструментах анализа; создавать алгоритмы и процедуры трансформации данных с целью дальнейшего построения инструментов анализа; описывать требования для доработки источников данных; презентовать результаты работы; создавать дашборды с метриками анализа.  мы будем рады рассмотреть вашу кандидатуру, если у вас есть:  продвинутый уровень sql (виды джойнов, подзапросы, аналитические функции, оптимизация запросов, оконные функции); знание одного из инструментов визуализации (tableau, powerbi, superset, redash, qliksense); знание методов хранения и обработки данных, построения инструментов анализа структурированных и неструктурированных данных, систем поддержки принятия решений, систем выявления отклонений, построения инструментов визуализации данных; навыки самостоятельного глубокого анализа различных источников информации, методик, практик, технологий; знание методов математического моделирования; навыки уверенной работы с python для анализа данных; умение работать с инструментами hadoop (pyspark, hive), а также умение работать с инструментами автоматизации (airflow); готовность работать в команде с использованием коллективных практик и стандартов работы с кодом и задачами (git, jira, confluence).  что мы предлагаем:  сплоченную команду профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться; обучение, участие в интересных проектах и расширение профессиональной экспертизы: мы участвуем в конференциях, митапах, публикуемся на хабр и т.д.; конструктивную и открытую рабочую атмосферу; полис добровольного медицинского страхования, обслуживаемый в лучших клиниках. корпоративные скидки на фитнес, обучение, путешествия и т.п.; служебную сотовую связь. ",2023-11-23,28906,москва,билайн,python;sql;анализ данных;математическое моделирование;управление базами данных,"1-3",полный день
bi analyst,"мы ищем талантливого и внимательного аналитика, который присоединится к нашей небольшой команде business reporting. это команда занимается сбором аналитики и построением отчётов для внутренних заказчиков – руководителей бизнеса, аккаунт-менеджеров, финансистов и казначеев. вашей основной задачей будет сбор и предоставлении высококачественной аналитической информации, необходимой для принятия обоснованных и эффективных решений. задачи:   строить и поддерживать дашборды, решающие регулярные бизнесовые и финансовые задачи;   формировать отчёты и выгрузки по запросам бухгалтеров, казначеев, аудиторов;   выявлять потребности бизнеса и отвечать на его вопросы с помощью данных;   участвовать в продумывании решений по повышению качества данных и скорости их обработки, в частности формировать агрегаты, вводить мониторинг и алерты;   формулировать требования к данным, ставить и курировать задачи дата-инженерам на поставку данных в dwh.   требования:   способность ясно излагать мысли простыми словами и доносить главное;   навыки интервьюирования стейкхолдеров, умение выявлять истинные потребности заказчика;   клиентоориентированность в работе с заказчиком;   опыт постановки задач разработчикам;   опыт работы с базами данных, уверенный sql (наш самый используемый диалект - это clickhouse sql);   плюсом будет владение python и библиотеками pandas, numpy;   опыт работы с bi-системами, умение найти подходящий способ визуализации данных;   усидчивость, внимательность и ответственность за результат - эти требования продиктованы важностью финансовых данных.   наш стек:   clickhouse   grafana   metabase   mysql   postgresql   google sheets   что предлагаем:   все по тк и даже больше - дополнительные отгулы и доплата за дни больничного листа;   гибридный формат работы (офис/удаленка);   ноутбуки для комфортной работы из дома;   современный офис с игровой зоной, фруктами и напитками;   дмс со стоматологией после прохождения испытательного срока;  частичная компенсация абонемента в фитнес;  обучающие курсы, тренинги и конференции;   скидка на изучение английского языка в skyeng;   эффективная программа адаптации для новых сотрудников;   корпоративы и тимбилдинги.  ",2023-12-04,28906,москва,qbigtech,clickhouse;grafana;postgresql;python;sql;анализ данных;аналитическое мышление,"3-6",полный день
младший bi аналитик,"страховая компания &quot;ингосстрах-жизнь&quot; (дочерняя компания спао &quot;ингосстрах&quot;) рассматривает кандидатов на позицию младший bi аналитик обязанности:  разработка макетов будущих дашбордов визуализация метрик и данных с использованием bi-инструментов управление пулом дашбордов как продуктом: сбор требований, ведение бэклога доработок и идей вместе с командой разрабатывать, поддерживать и развивать удобные и полезные аналитические продукты участие в процессе актуализации и улучшения методологии расчета метрик создание удобных интерфейсов для доступа бизнес-подразделений к данным проверка гипотез и создание прототипов различных отчетов выгрузка отчетов и дашбордов в production  требования:  умение настраивать систему аналитики power bi, обрабатывать данные из разных источников создание прикладных дашбордов умение работать с данными в sql  условия:  официальное трудоустройство в соответствии с тк рф, испытательный срок 3 месяца. стабильная заработная плата и прозрачная система мотивации (премии), дмс. график работы 5/2 с 9:00 до 18:00. бесплатная корпоративная библиотека для всестороннего развития. место работы м. войковская (шаговая доступность). ",2023-12-05,28906,москва,ингосстрах,"","1-3",полный день
аналитик (power bi),"обязанности:   подготовка аналитической отчетности по основным показателям топливного бизнеса российских организаций нефтепродуктообеспечения (далее – онпо) в различной детализации;   автоматизация имеющихся отчетов, создание новых на базе power bi;   подготовка выводов и предложений по данным аналитики;   визуализация по итогам проведения аналитики;   способность быстро работать в режиме многозадачности;   умение оперативно обрабатывать большой объем информации.   требования:  обязательно отличное владение: microsoft excel, power pivot, power query, power bi, sql. методичность работы с информацией, выявление взаимосвязей; способность быстро оценивать ситуацию и принимать решения; способность точно, аккуратно и педантично выполнять работу в установленные сроки; высшее образование (техническое, экономическое).  условия:  дмс, бонусы при выходе в отпуск, насыщенная социальная программа, уровень заработной платы обсуждается по итогам собеседования, официальное трудоустройство в соответствии с тк рф. ",2023-12-11,28906,москва,лукойл,microsoft excel;коммуникативная грамотность;коммуникативная грамотность,"1-3",полный день
ведущий специалист портфельной аналитики и отчетности,"ао «банк дом.рф» – ипотечно - строительный банк с широкой федеральной сетью обслуживания, который входит в топ-20 крупнейших российских банков по объему капитала. банк предлагает клиентам широкий выбор традиционных банковских продуктов: активно развивает розничное направление и предоставляет современный сервис и удобное банковское обслуживание физическим лицам, а также сервисы и услуги для малого бизнеса. в компании существует уникальная корпоративная культура, благодаря которой инициативы каждого сотрудника могут быть реализованы, а также предоставляются все возможности для профессионального роста и развития.   основные задачи:  участие в развитии хранилища под нужды департамента розничных рисков сбор и анализ требований, выдвигаемых к отчетности построение отчетности, аналитика данных  требования:  высшее образование опыт работы в направлении разработки отчетности в банке или it-компании, при этом знание специфики розничных рисков и опыт исполнения продвинутых аналитических задач в риск-менеджменте розничного кредитования является преимуществом умение написания сложных запросов в sql обязателен, опыт работы с иcпользованием sas желательно продвинутое владение excel и power point умение работать с большими объемами данных  условия:  конкурентный уровень заработной платы возмещение по больничному листу до 100 % от оклада расширенная программа дмс со стоматологией компенсация абонемента в фитнес-клуб компенсация обучения английскому языку компенсация профессионального обучения специальные условия по кредитам и ипотеке для сотрудников корпоративные скидки у партнёров группы дом.рф ",2023-11-28,28906,воронежская область,банк дом.рф,"","1-3",сменный график
консультант по внедрению продуктов форсайт,"приглашаем на постоянную работу консультанта по внедрению продуктов форсайт gmcs – одна из ведущих российских ит-компаний в области внедрения бизнес-приложений, системной интеграции и разработки по.   26 лет на рынке. мы работаем на рынке с 1997 года, пережили не один кризис, пандемию, и хорошо понимаем, как функционирует ит-отрасль.   центральный офис находится в москве, филиалы – в санкт-петербурге, пензе, перми, казани и туле. в нашей команде более 500 специалистов. мы реализовали сотни проектов и постоянно движемся вперед!   мы делаем проекты в россии. специализируемся на корпоративной автоматизации (erp, crm, rpa, wms, bi, eam и т.д.), реализуем проекты в области машинного обучения, оптимизации и прогнозирования, помогаем запускать полезные облачные сервисы, осуществляем разработку заказных решений с использованием передового технологического стека. все проекты – полноценное внедрение полнофункциональной системы.   если вам интересно научиться внедрять систему форсайт, прокачать скиллы, и сертифицироваться? мы готовы вас обучать и дать вам новый профессиональный опыт!   обязанности:  участие в коммерческих проектах внедрения информационных систем в роли консультанта/разработчика; разработка отдельных блоков информационных систем на продуктах семейства форсайт; анализ бизнес-процессов компаний и их формализация; участие в создании проектной и пользовательской документации; участие в настройках системы, решение клиентских запросов; консультирование специалистов заказчика;    требования:  образование техническое высшее или н/высшее (последний курс, магистратура); базовые знания программирования и sql; пользователь пакета ms office (word, excel, outlook, powerpoint); знание ms excel (продвинутый уровень); аналитический склад ума, системное мышление; аккуратность и ответственность при выполнении задач; умение структурировать информацию и грамотно излагать свои мысли; готовность работать в команде к редким командировкам; готовность выполнить наше тестовое задание в короткий срок.    преимуществом будут:  понимание общих принципов экономики предприятий; опыт участия во внедрении корпоративных ис; наличие сертификатов;    мы предлагаем:  работу в крупной аккредитованной ит-компании; официальное трудоустройство в первый рабочий день; возможность работать из дома и офиса; дмс (добровольное медицинское страхование) после испытательного срока; корпоративный ноутбук; карьерный рост и профессиональное развитие; возможность прохождения обучения/сертификации за счет компании; корпоративные предложения для сотрудников: скидки на туризм, интернет-магазины, обучающие курсы, скидки на английский в онлайн-школе skyeng; современный офис в москве м. юго-западная;    присоединяйтесь к нашей команде! благодарим за интерес, проявленный к нашей компании! резюме будет рассмотрено в течение 3-х рабочих дней с момента его получения. если ваш опыт работы и пожелания соответствуют требованиям и возможностям компании – менеджер по подбору персонала свяжется с вами по указанным в резюме контактам.   отсутствие ответа в течение вышеуказанного срока означает, что, на сегодняшний день мы не можем пригласить вас на собеседование. в случае появления других вакансий, соответствующих вашей квалификации, мы будем рады связаться с вами.  ",2023-12-01,28906,москва,gmcs,ibm cognos business intelligence;microsoft excel;microsoft office;microsoft sql server;oracle business intelligence enterprise edition plus;разработка bi;sql;разработка bi,"0",полный день
старший аналитик / ведущий аналитик,"привет! мы занимаемся аналитикой и консалтингом в банковской сфере. мы создаем аналитические продукты, которые позволяют оценить место банка в любом сегменте банковской розницы, сформировать гипотезы по развитию бизнеса и принять верные решения. наши клиенты – все крупнейшие российские банки: сбербанк, тинькофф, райффайзен банк, альфа-банк и другие. мы входим в топ-100 крупнейших консалтинговых компаний по версии raex, среди стратегических консультантов мы - №6!       у нас сильная команда, возможность быстрого карьерного роста, интересные аналитические задачи и безграничные возможности для профессионального роста и развития. наш бизнес растет каждый год на 30-50%, и чтобы поддерживать этот рост, мы находимся в постоянном поиске талантливых специалистов всех уровней грейдов. наши проекты:  консалтинговая компания frank rg. деловое издание frank media.  тебе у нас понравится, если тебе близка работа с данными, интересно, как устроен банковский сектор и ты хочешь стать экспертом в аналитике. тебе предстоит:  обрабатывать и проверять данные (качественные и количественные при помощи excel, в том числе и с использованием power query, power pivot, dax и онлайн-витрины на базе qlik); формировать аналитические отчеты для банков с описанием найденных ошибок; контролировать процесс: внутренние дедлайны по согласованию методики с проектным лидером, со стороны клиента дедлайны по выгрузке данных, проверке и согласованию; осуществлять методологическую помощь клиенту и аналитикам из команды; создавать расчетные excel-модели по заданным вводным, оценивать рынок и рассчитывать ключевые показатели; участвовать в подготовке отчетов в формате powerpoint по результатам работы; подготавливать качественную аналитику, которая аккумулирует опыт нескольких проектов и позволят банкам принимать стратегические решения о развитии своего бизнеса.  мы ждем, что ты:  имеешь высшее образование: экономика, финансы, маркетинг; имеешь опыт в аналитике 2-3 года; владеешь инструментами excel на продвинутом уровне (пользование пакетами анализ данных, поиск решения, макросы, впр, гпр, работа со сводными таблицами, надстройки excel power query и power pivot); готов работать с данными на базе qlik sense; можешь самостоятельно подготовить презентацию для клиента; ориентирован на бизнес, нацелен на результат, способен работать самостоятельно и пробовать различные подходы; умеешь четко и ответственно решать поставленные задачи, соблюдать персональные дедлайны; обладаешь гибким умом, умеешь структурировать информацию и делать выводы; готов выполнить тестовое задание :)  мы предлагаем:  работу в штате компании с соблюдением трудового кодекса; конкурентную зарплату по итогам собеседования; испытательный срок 3 месяца без снижения оклада; большой спектр задач и проектов, в разработке которых можно принимать участие, пробовать разные инструменты и выбрать те, что приносят больше пользы исследованию; компенсация обучения английскому языку в skyeng (50% платит компания, 50% сотрудник), яндекс.еда после 20:30 и яндекс.такси после 22:00; корпоративный спорт: йога и алтимат фрисби; книжный клуб: в твоем распоряжении будет внушительная библиотека по бизнес, технической и художественной литературе; корпоративные выезды: стратегические сессии, корпоративы, спорт, вечеринки; ассессмент: прозрачная система оценки 2 раза в год с возможностью роста грейда и зарплаты; дмс (посещение врачей без ограничений, кт, мрт, чекап).       ",2023-12-29,28906,москва,frank rg,организация и управление бизнес-процессами;dax;microsoft excel;microsoft powerpoint;oracle business intelligence enterprise edition plus;postgresql;dax;power pivot;sql;power query;qlik sense;анализ данных;знание английского языка;управленческое консультирование;статистическая обработка данных;математическое моделирование;ведение отчетности;информационная грамотность;статистическая обработка данных,"3-6",полный день
team lead аналитики данных (удаленно),"нии «восход» — мультисервисный партнер государства в области информационных технологий с 1972 года. мы создаем инновационные ит-решения для органов власти, внедряем и развиваем новые форматы эффективного взаимодействия между государством и обществом. институт специализируется на разработке и эксплуатации информационных систем, услугах в области информационной безопасности (в том числе создании средств криптографической защиты информации), а также разработке и развитии ит-архитектуры современных информационных систем и цифровых платформенных решений. нии «восход» включен в реестр аккредитованных ит-компаний и организаций оборонно-промышленного комплекса. проект: &quot;большие данные&quot; ваши будущие задачи:  сбор, анализ и разработка (уточнение и детализация) требований заказчика; моделирование и верификация требований; разработка проектных документов на основе требований; анализ собранных и структурированных данных; интерпретация полученных результатов; построение моделей для машинного обучения; работа с базами данных, участие в разработке архитектуры данных, формирование логики наполнения и хранения данных; разработка и поддержка сопроводительной документации и спецификаций данных, развитие и поддержка базы знаний по вопросам работы с данными; формирование наборов данных и описание их атрибутивного состава; обработка массивов данных и подготовка информации для последующей аналитики; составление и предоставление отчетов руководству в различных наглядных форматах – от экспертного заключения до презентации, графика или диаграммы.  для нас важно:  опыт лидирования команды; построение моделей данных, витрин данных;  проектирование моделей данных (логическая) / схем баз данных;   реализация слоев хранилища данных, передачи данных между слоями хранилища;   знание принципов инкрементальной передачи данных, основ статистики, математического моделирования;   sql: cte, оконные функции, рекусия, оптимизация запросов;   python (pandas, numpy, matplotlib, statsmodels);   субд: postgresql, ms sql, clickhouse, greenplum. будет плюсом:   знание dbt;   опыт работы с большим объемом данных, геоданными   опыт работы с формированием логики для витрин данных, показателей, метрик   мы предлагаем:  стабильную белую и конкурентоспособную заработную плату; график работы 5/2 (офис, гибрид, полная удаленка); оформление по тк рф(срочный трудовой договор); комфортный, просторный офис (м. проспект вернадского/мичуринский проспект); возможность карьерного и профессионального роста; отсутствие опен-спейсов и строгого дресс-кода; бесплатную охраняемую парковку на территории офиса; возможность обучения; спортивный зал в офисе. ",2023-11-30,28906,москва,нии восход,hadoop;postgresql;python;sql;анализ данных,"3-6",полный день
разработчик bi,"приглашаем в команду разработчика bi: самокат — это онлайн-магазин, который есть в более чем 60 городах россии. мы привозим продукты, товары для дома и косметику и дарим нашим клиентам то, чего всегда не хватает — время. чтобы сделать заказ в самокате, нужно собрать товары в корзину в приложении, оплатить их, и уже через 15-30 минут курьер принесёт всё самое нужное.  наши главные ценности — это команда, время и устойчивость. мы ценим каждого, кто работает и сотрудничает с нами, быстро адаптируемся к изменениям и относимся друг к другу уважительно и на равных. сейчас в нашем штате более 8 000 сотрудников, а заказы по всей стране доставляют более 30 000 курьеров-партнёров.  обязанности:  создание и сопровождение интерактивных bi-панелей в qlik sense и visiology, а именно:  + взаимодействие с аналитиками + проектирование и разработка приложений и необходимых для них моделей данных + интеграция с источниками данных (подключение, трансформация, хранение, загрузка)  анализ ключевых показателей компании оцифровка бизнес-процессов, которые постоянно появляются и меняются в компании решение нетривиальных задач используя инструменты bi работа с данными одной из самых успешных e-grocery компаний  требования:  опыт работы с sql опыт работы с hadoop, azure, mssql опыт работы с python опыт работы в ритейле, консалтинге или системном интеграторе опыт разработки mashup&#39;ов и extension&#39;ов для qlik sense опыт работы с nprinting опыт работы с visiology или power bi  условия:  пятидневная рабочая неделя, восьмичасовой рабочий день; удаленный формат работы; комфортные офисы в городах присутствия — с тихой зоной для работы и переговорными для совещаний и мозговых штурмов; оформление по тк рф с первого дня и все социальные гарантии; белая заработная плата и выгодные зарплатные проекты в нескольких банках; дмс со стоматологией после трёх месяцев работы. ещё в полис входят онлайн-консультации врачей, страховка для путешественников и другие услуги; льготная ипотека (или рефинансирование существующей) для тех, кто с нами полгода и дольше; возможность проходить обучение за счёт компании; условия для профессионального развития и карьерного роста; обучение в разговорном клубе английского языка и участие в спортивных мероприятиях; бонусы для сотрудников: корпоративные скидки у партнёров, внутрисамокатовские конкурсы и квизы с призами, подарки для детей и многое другое. зарплатный проект сбера, благодаря которому тебе будет доступно: сниженный процент по кредиту, возможность оформить кредитную карту с лимитом использования денег без % до 120 дней, а также бесплатная подписка сберпрайм+ и доступ к сервисам экосистемы: okko, сбермобайл, сберзвук, бесплатная доставка и скидки в сбермаркет, сбераптека, самокат и другие. ",2023-12-12,28906,свердловская область,самокат (ооо умный ритейл),"","3-6",полный день
