Название вакансии,Описание вакансии,Дата публикации,Заработная плата,Название региона,Работодатель,Ключевые навыки,Опыт работы,График работы
Аналитик,"Мы международный финтех стартап http://empay.com. В команду по разработке приглашаем System Analyst.Обязанности:- Выявление и анализ бизнес-требований, разработка технических спецификаций и понимание принципов проектирования архитектуры, включая DDD, User Story и Use Case;- Разработка и декомпозиция требований к данным, UI (макеты в Figma) и API (OpenAPI, AsyncAPI);- Разработка критериев готовности продукта (DoD), участие в создании и проверке тест-кейсов;- Активное взаимодействие с владельцем продукта, разработчиками, тестировщиками,выстраивание ожиданий бизнеса по рискам и срокам реализации- Постановка задач для разработчиков - грамотная декомпозиция и оценка системных требований в Бэклог, управление изменениями в элементах Бэклога- Проектирование и сопровождение комплексных интеграционных решений;- Управление и ведение документации по проекту;- Сопровождение этапов разработки и тестирования, участие в функциональном и UAT тестировании;- Участие в проработке нефункциональных требований и пользовательской документации;- Разработка требований к backend и frontend системам, участие в проработке архитектурных решений;- Построение моделей бизнес-процессов и моделей данных.Требования:- Техническое образование/бэкграунд;- Понимание процесса разработки и поддержки ПО в разрезе различных методологий и подходов (Agile, Waterfall);- Понимание принципов CI/CD;- Умение пользоваться git/GitHub и MarkDown;- Знание инструментов управления проектами и документацией (Confluence, Jira, GitHub Projects);- Опыт написания технических заданий, требований и сценариев;- Владение нотациями ER, UML и BPMN для моделирования процессов и систем;- Опыт проектирования логической модели данных;- Понимание процесса интеграций между информационными системами;- Опыт описания интеграционных взаимодействий;- Навыки работы с инструментами для тестирования API (Curl, Postman);- Знание принципов микросервисной архитектуры и очередей сообщений (RabbitMQ);- Понимание форматов json, yaml;- Интерес к решению сложных нестандартных задач и желание развиваться в области анализа;- Работоспособность, аккуратность в работе, ответственность за результат;- Умение грамотно излагать свои мысли в устной и письменной форме;- Понимание архитектуры ПО;- Понимание типовых решений для клиент-серверных приложений;- Опыт работы в роли системного аналитика от 2 лет.Будет плюсом:- Опыт работы в Atlassian Confluence, Jira;- Опыт работы с SQL и/или NoSQL базами данных;- Опыт работы с Docker, Kubernetes;- Опыт в фин. тех. и банковской сфере.Мы предлагаем:• возможность работать в перспективном финтех стартапе;• современные подходы к архитектуре и технологический стек (elixir/phoenix, flutter, typescript/react, docker, kubernetes, werf)• возможность предлагать свои идеи и влиять на результат;• наращивать экспертизу в финтех/open banking;• комфортную атмосферу – мы уважаем друг друга, открыты к общению на любые темы и ценим увлеченных людей;• Заработная плата (₽): от 150К и выше по результатам собеседования + опцион;• Удаленная работа, Fulltime;• Возможность релокации France, UK (после испытательного срока, необязательно).",2024-01-05 00:00:00 +0700 +07,200000,Санкт-Петербург,СОУШЛ ИМПАКТ ТЕХНОЛОДЖИС,,1-3,Полный день
Аналитик,"Мы международный финтех стартап http://empay.com. В команду по разработке приглашаем System Analyst.Обязанности:- Выявление и анализ бизнес-требований, разработка технических спецификаций и понимание принципов проектирования архитектуры, включая DDD, User Story и Use Case;- Разработка и декомпозиция требований к данным, UI (макеты в Figma) и API (OpenAPI, AsyncAPI);- Разработка критериев готовности продукта (DoD), участие в создании и проверке тест-кейсов;- Активное взаимодействие с владельцем продукта, разработчиками, тестировщиками,выстраивание ожиданий бизнеса по рискам и срокам реализации- Постановка задач для разработчиков - грамотная декомпозиция и оценка системных требований в Бэклог, управление изменениями в элементах Бэклога- Проектирование и сопровождение комплексных интеграционных решений;- Управление и ведение документации по проекту;- Сопровождение этапов разработки и тестирования, участие в функциональном и UAT тестировании;- Участие в проработке нефункциональных требований и пользовательской документации;- Разработка требований к backend и frontend системам, участие в проработке архитектурных решений;- Построение моделей бизнес-процессов и моделей данных.Требования:- Техническое образование/бэкграунд;- Понимание процесса разработки и поддержки ПО в разрезе различных методологий и подходов (Agile, Waterfall);- Понимание принципов CI/CD;- Умение пользоваться git/GitHub и MarkDown;- Знание инструментов управления проектами и документацией (Confluence, Jira, GitHub Projects);- Опыт написания технических заданий, требований и сценариев;- Владение нотациями ER, UML и BPMN для моделирования процессов и систем;- Опыт проектирования логической модели данных;- Понимание процесса интеграций между информационными системами;- Опыт описания интеграционных взаимодействий;- Навыки работы с инструментами для тестирования API (Curl, Postman);- Знание принципов микросервисной архитектуры и очередей сообщений (RabbitMQ);- Понимание форматов json, yaml;- Интерес к решению сложных нестандартных задач и желание развиваться в области анализа;- Работоспособность, аккуратность в работе, ответственность за результат;- Умение грамотно излагать свои мысли в устной и письменной форме;- Понимание архитектуры ПО;- Понимание типовых решений для клиент-серверных приложений;- Опыт работы в роли системного аналитика от 2 лет.Будет плюсом:- Опыт работы в Atlassian Confluence, Jira;- Опыт работы с SQL и/или NoSQL базами данных;- Опыт работы с Docker, Kubernetes;- Опыт в фин. тех. и банковской сфере.Мы предлагаем:• возможность работать в перспективном финтех стартапе;• современные подходы к архитектуре и технологический стек (elixir/phoenix, flutter, typescript/react, docker, kubernetes, werf)• возможность предлагать свои идеи и влиять на результат;• наращивать экспертизу в финтех/open banking;• комфортную атмосферу – мы уважаем друг друга, открыты к общению на любые темы и ценим увлеченных людей;• Заработная плата (₽): от 150К и выше по результатам собеседования + опцион;• Удаленная работа, Fulltime;• Возможность релокации France, UK (после испытательного срока, необязательно).",2024-01-05 00:00:00 +0700 +07,200000,Новосибирская область,СОУШЛ ИМПАКТ ТЕХНОЛОДЖИС,,1-3,Полный день
BI-аналитик,"Вам предстоит:  Общение с заказчиком и составление ТЗ разработчикам на проекты BI; Формирование документации по завершенным проектам; Поддержание системы документации в актуальном состоянии; Проведение аудита отчетности BI; Анализ отчетности на предмет корректности показателей.  Мы ожидаем:  Опыт работы аналитиком в BI от 2х лет; Опыт работы с базами данных; Знание SQL (базовые запросы); Понимание основ статистики и математики для анализа рынка ритейла; Опыт работы в Confluence, JIRA.  Будет преимуществом:  Опыт работы с BI-системами QlikView/QlikSense; Опыт работы с SAP.  Мы предлагаем:  Работу в крупной международной компании; Официальное оформление по ТК РФ; Полностью белую заработную плату; График: 5/2, полностью удаленный формат работы; Возможность посещения офиса - м. Динамо/Петровский парк (до 7 минут пешком).  Дополнительные бонусы:  Работа в дружной команде и развитая корпоративная жизнь; Возможность профессионального и карьерного роста, гибкое отношение к новым идеям; Корпоративное обучение Fix Price School (вебинары и тренинги от наших экспертов на различные тематики); Возможность повышения квалификации и переподготовки по выбранной специальности в нашем корпоративном университете с получением сертификата или диплома; Программа ДМС и премиум подписка на медицинской платформе с первого рабочего дня; Программа поддержки психологического здоровья сотрудников; Программа лояльности в сети магазинов компании (бонусная карта Fix Price Business); Подарки на день рождения; Доплата к больничным и отпускам до полной заработной платы. ",2023-12-06 00:00:00 +0700 +07,0,Москва,FIX PRICE,Microsoft SQL Server;Анализ данных;Управление базами данных;Формирование технических заданий,1-3,Удаленная работа
Аналитик BI,"Обязанности:  Создание системы сквозной коммерческой аналитики по продажам и работе с проектами на основе данных 1С, OLAP Разработка автоматизированных моделей сбора данных из 1С Импорт, обработка и подготовка данных, подготовка презентаций Создание и актуализация динамических, визуально красивых дашбордов Power BI (язык DAX) Определение мер и постановка задач на выгрузку данных из 1С в OLAP внутренним разработчикам Анализ продаж и разработка инструментов контроля коммерческих показателей и полноты информации в информационной базе Участие в определении ключевых показателей, участие в разработке регламентов, инструкций Инициация разработки/доработки инструментов дополнительной аналитики, подготовка и согласование ТЗ на доработки, постановка задач разработчику Контроль, функциональное тестирование, прием доработок  Требования:  Высшее образование Уверенное владение Exсel (сложные формулы, работа со сводными таблицами, макросы, …) Опыт работы с большими массивами данных, опыт работы и настройки OLAP BI Владение MS Visio, знание основных нотаций бизнес-процессов Опыт подготовки динамических дашбордов Наличие портфолио является преимуществом  Условия:  Оформление по ТК РФ Официальная заработная плата График и режим работы: 5/2, с 09:00 до 18-00 Корпоративный трансфер от/до ст. м. Аминьевская; бесплатная охраняемая корпоративная парковка для личного транспорта сотрудников; льготное питание ",2023-12-06 00:00:00 +0700 +07,0,Москва,Группа Полипластик,,3-6,Полный день
Аналитик данных / BI Аналитик,"РОСБАНК – ЭТО КРУПНЫЙ БАНК, КОТОРЫЙ ВИДИТ ПРОДУКТЫ ГЛАЗАМИ КЛИЕНТОВ Приглашаем в команду Управления процессов и культуры изменений Аналитика данных Центр компетенций процессной эффективности – команда профессионалов высокого уровня, сотрудники которой независимо ведут стратегические инициативы и меняют Банк. Фокусом команды являются:  трансформация процессов и подразделений, повышение их зрелости оптимизация и выстраивание эффективных процессов для достижения стратегических целей Банка работа с данными: разработка аналитических dashboard, построение ресурсных моделей, формирование гипотез и принятие решений на основе анализа данных    Обязанности:  Исследование источников данных; Разработка аналитических дашбордов; Проектирование витрин данных и детального слоя; Выявление проблемных участков обработки данных и их оптимизация; Выстраивание эффективного взаимодействия между подразделениями Банка  Требования:  Опыт работы с СУБД GreenPlum/Postgre/Oracle/MS SQL; Опыт работы с BI инструментами; Опыт анализа разноструктурированных данных; Опыт разработки ресурсных моделей и работы с инструментами Process и Task mining будет преимуществом  Условия:  Комбинированный формат работы или полностью удаленный (на территории РФ); Стабильный и прозрачный доход: зарплата и премии по результатам работы; График 5/2, пятница - сокращенный рабочий день; 31 календарный день оплачиваемого отпуска; Отсутствие дресс-кода; Забота о здоровье сотрудников: программа ДМС, включая стоматологию и консультации психолога, страхование при выезде за рубеж, скидки на абонементы в фитнес-клубы, страхование жизни; Дополнительная оплата за больничный лист: доплата сверх пособия по болезни до оклада (до 5 рабочих дней в год); Кадровый электронный документооборот, который позволяет подписывать кадровые документы (дополнительные соглашения к трудовому договору, приказы и т.п.) в электронном виде; Личностное развитие и рост: корпоративная электронная библиотека Альпина с книгами, курсами, тестами по бизнесу и саморазвитию, возможность прохождения бесплатного обучения и тренингов, участия в регулярных встречах корпоративных клубов и скидки на курсы он-лайн школ; Скидки и привилегии по кредитам, ипотека на льготных условиях, льготные условия обслуживания и т.п.; Комфортный современный офис: зоны для отдыха и здорового питания, зоны для совместной работы; Программа корпоративных скидок и привилегий Primezone - это скидки до 50% на более чем 6 000 товаров и услуг: развлечения, отдых, товары для взрослых и детей, услуги (авиакомпании, рестораны, магазины электроники и т.п.), обучение; Программа &quot;Приведи друга&quot; для сотрудников: пригласи в команду друга и получи до 50 000 руб.; Программа волонтерства и благотворительности; Сообщества по интересам сотрудников.  ПОЧЕМУ IT СПЕЦИАЛИСТЫ ВЫБИРАЮТ НАС:  ТОП 5 самых надежных российских банков, «Золото» в рейтинге лучших работодателей России по версии Forbes; Безграничные возможности роста: классная команда экспертов, у которых можно перенимать уникальный опыт; Постоянное внедрение новых технологий и лучших практик ИТ сообщества Победитель в номинации «Лучшее решение в области well-being (благополучие сотрудников) на всероссийском конкурсе «Best C&amp;B Russia 2022» ",2023-12-06 00:00:00 +0700 +07,0,Москва,РОСБАНК,PostgreSQL;Microsoft SQL Server;Oracle Database;PostgreSQL;Microsoft Power BI;SQL;Tableau;Анализ данных,3-6,Удаленная работа
Аналитик DWH (Трайб CDO Office),"  ОТП Банк – это банк с понятной философией. У банка есть миссия – стать самым клиентоцентричным банком страны. Банк хочет не только предоставлять весь спектр современных банковских услуг, обеспечивать отличный опыт взаимодействия через цифровые каналы и предлагать выгодные и удобные продукты, но и вызывать эмоции. Поддерживать устремления тех, кто открыт новому, тех кто с оптимизмом смотрит на жизнь и готов к смелым поступкам. Чтобы внутренний образ соответствовал внешнему мы изменились визуально и стали намного ярче. Каждый новый цвет обозначает конкретное качество, а вместе они формируют цветовую фотографию эмоций ОТП. В этом суть репозиционирования банка, ведь бренд и его восприятие важны как для клиентов, так и для сотрудников.Наш общий успех возможен, если сотрудникам будет не все равно, команда будет думать не только о внешних клиентах, но и о коллегах. Ведь клиентоцентричность не может быть только наружу, она должна быть сначала внутри, а значит работать в ОТП при таком подходе станет максимально удобно. Для нас отсутствие бюрократии, прозрачность процессов и чувство дружеского плеча первый шаг к неисчерпаемому вдохновению. Чем предстоит заниматься:  Анализировать новые требования от заказчиков по задачам развития бизнеса и оформлять согласованные требования в виде BRD и FSD; Формировать и согласовывать архитектурное решение по задаче; Создавать функциональные требования и технические задания для разработчика в соответствии со стандартами аналитики; Контролировать реализации изменений и тестирование на стороне DWH согласно методике тестирования, по итогам оформлять протокол тестирования; Сопровождать заказчика на этапе UAT; Взаимодействовать с внутренними заказчиками, системными аналитиками-экспертами в рамках задач DWH; Анализировать и изучать исходные системы Банка, а также верифицировать и оптимизировать существующие алгоритмы на DWH; Участвовать в проектах внедрения автоматизированных систем или межсистемной миграции данных; Анализировать и контролировать качество загрузки данных в хранилище данных Банка; Сопровождать документацию в части хранилища данных; Анализировать и контролировать качество отчетности; Поддерживать и консультировать пользователей хранилища в рамках реализованного функционала; Устранять сбои/ решать инциденты, выявленные в хранилище данных; Обогащать базы знаний банка о DWH и процессов, связанных с ним.  Что мы ждем:  Опыт разработки и внедрения ИТ- продуктов, знание технологической стороны запуска и развития продукта от 1 года; Знание SQL; Опыт работы в качестве аналитика DWH.  От нас:  Красивый офис/удобное рабочее место (м. Войковская) или удалёнка по РФ; Возможность изменять время начала и конца рабочего дня по согласованию с руководителем; Отсутствие строгого дресс-кода (мы лояльны к любому проявлению личного стиля); Welcome pack; ДМС (а также возможность его замены на фитнес); BestBenefits – сервис скидок и привилегий (техника и электроника, рестораны и доставка, обучение, отдых, спорт, красота и здоровье, товары, развлечения, услуги, детские товары и развлечения); Управленческое обучение, развитие навыков личной эффективности, профессиональное развитие; Участие в корпоративных и спортивных мероприятиях (он-лайн и офф-лайн); Корпоративная библиотека. ",2023-12-06 00:00:00 +0700 +07,0,Москва,"ОТП Банк, АО (OTP bank)",DWH;SQL;Анализ данных,1-3,Удаленная работа
Ведущий аналитик данных,"KMA.BIZ (KissMyAds) — одна из крупнейших российских товарных партнерских программ, основана в 2013 году(арбитраж). И дочерняя компания call media (колл-центр, продают товары для красоты и здоровья) У нас есть собственная линейка товаров для здоровья и красоты и партнерская программа по их продвижению. Мы обеспечиваем полный цикл создания и развития своих офферов, начиная от разработки продуктовой и маркетинговой концепций, и заканчивая обработкой заявок собственным call-центром и доставкой товаров клиентам.   Обязанности:  Разработка дашбордов; Формирование выгрузок с помощью SQL-запросов и Python; Анализ технических заданий на предмет достаточности и непротиворечивости данных; Проектирование структуры и макета дашборда; Проектирование визуализаций, в соответствии с потребностями и ожиданиями пользователей; Участие в проекте по созданию корпоративного хранилища данных и системы отчетности; Подготовка материалов и документов, включая справки и презентации, в зоне ответственности Управления.  Требования:  Опыт работы с yandex datalens; Уверенное знание SQL, методик и принципов построения дашбордов; Знания в области современных технологий обработки и анализа данных; Умение работать с данными, с большим объемом информации.  Условия:  Четкий график 5/2 с 9:00 до 18:00, суббота и воскресение - стабильные выходные. Возможен как офисный формат, так и гибрид/удаленка. Мы ценим баланс работы и личной жизни. У каждого должно быть время на семью, друзей, на бег по утрам или любимую книгу; Отталкиваемся от Ваших зарплатных ожиданий; Возможности карьерного роста, так как направление активно развивается. Мы поддерживаем стремление построить карьеру и реализовать себя.  Если ты готов стать частью нашей команды и помочь нам достичь новых высот в бизнесе, то мы ждем твоего отклика. Не упусти свой шанс стать частью успешной компании и получить ценный опыт.",2023-12-28 00:00:00 +0700 +07,0,Москва,Callmedia,Визуализация данных;Microsoft Power BI;Python;SQL;Анализ данных,3-6,Удаленная работа
Senior Data Analyst,"В одно из наших новых направлений — сервис TurboTarget, динамический ретаргетинг + программатик, мы ищем сильного аналитика данных, который здрайвит направление ретаргейтинга сайта. Что это? Это формирование портрета пользователя, что он смотрел, с чем взаимодействовал, что в корзине. На основании этих данных мы показываем рекламу - баннеры. Нужно улучшать данный продукт, который будет взаимодействовавать с данными, строить портрет пользователя и показывать рекламу. Чем тебе предстоит заниматься:  Анализом данных для предсказания вероятности конверсии пользователя в покупку. Помощь с прогнозом успешности клиента в нашей системе ретаргетинга. Персонализацией выдачи товаров на баннерах ретаргетинга с учетом истории поведения польщователя на сайте магазина. Проведение A/B тестов для определения и повышения эффективности баннеров ретаргетинга. Мониторинг и отчетность по ключевым показателям производительности рекомендательной системы.  Что мы ожидаем от тебя:  3+ года опыта рабоыт аналитиком данных. Отличное владение SQL, Python, алгоритмы ML. Опыт работы с большими наборами данных в области e-commerce. Опыт построения систем сквозной аналитики знание инструментов математического анализа и понимание принципов математической статистики. Сильные аналитические навыки и умение превращать большие объемы данных в понятные инсайты. Живой ум, сильные коммуникации, умение договариваться и способность сложные вещи объяснять простым языком.​​​​  Мы предлагаем:  Работа в крупнейшей группе компаний: мы входим в топ-5 работодателей России в области маркетинга. В составе группы более 30 компаний и у нас уже более 800 сотрудников; Удаленный или гибридный формат работы: не имеет значения в каком городе ты живешь, при этом у нас есть несколько офисов, их можно посещать по желанию; Гибкое начало рабочего дня: мы работаем с понедельника по пятницу, есть возможность выбора времени начала рабочего дня, у нас нет жесткого контроля за графиком, главное, чтобы задачи выполнялись вовремя; Дружная команда: ценим юмор, проводим корпоративы, организовываем клубы по интересам, квизы и другие мероприятия для общения с коллегами не только по рабочим задачам; Обучение и развитие: лекции, воркшопы, обмен опытом внутри команды, софинансирование профессионального обучения, возможность роста; Здоровые взаимоотношения: для нас важны честность и открытость, каждому из наших сотрудников предоставляется всесторонняя поддержка, возможность получения карьерных консультаций и индивидуальный план развития внутри компании; И дополнительные бонусы: программа лояльности, корпоративный университет, скидки от партнеров, доступ к сервису по отслеживанию здоровья, программа материальной помощи и другие различные мероприятия для сотрудников ",2023-11-27 00:00:00 +0700 +07,0,Москва,Kokoc Group,Python;SQL,3-6,Удаленная работа
Senior Data Analyst,"В одно из наших новых направлений — сервис TurboTarget, динамический ретаргетинг + программатик, мы ищем сильного аналитика данных, который здрайвит направление ретаргейтинга сайта. Что это? Это формирование портрета пользователя, что он смотрел, с чем взаимодействовал, что в корзине. На основании этих данных мы показываем рекламу - баннеры. Нужно улучшать данный продукт, который будет взаимодействовавать с данными, строить портрет пользователя и показывать рекламу. Чем тебе предстоит заниматься:  Анализом данных для предсказания вероятности конверсии пользователя в покупку. Помощь с прогнозом успешности клиента в нашей системе ретаргетинга. Персонализацией выдачи товаров на баннерах ретаргетинга с учетом истории поведения польщователя на сайте магазина. Проведение A/B тестов для определения и повышения эффективности баннеров ретаргетинга. Мониторинг и отчетность по ключевым показателям производительности рекомендательной системы.  Что мы ожидаем от тебя:  3+ года опыта рабоыт аналитиком данных. Отличное владение SQL, Python, алгоритмы ML. Опыт работы с большими наборами данных в области e-commerce. Опыт построения систем сквозной аналитики знание инструментов математического анализа и понимание принципов математической статистики. Сильные аналитические навыки и умение превращать большие объемы данных в понятные инсайты. Живой ум, сильные коммуникации, умение договариваться и способность сложные вещи объяснять простым языком.​​​​  Мы предлагаем:  Работа в крупнейшей группе компаний: мы входим в топ-5 работодателей России в области маркетинга. В составе группы более 30 компаний и у нас уже более 800 сотрудников; Удаленный или гибридный формат работы: не имеет значения в каком городе ты живешь, при этом у нас есть несколько офисов, их можно посещать по желанию; Гибкое начало рабочего дня: мы работаем с понедельника по пятницу, есть возможность выбора времени начала рабочего дня, у нас нет жесткого контроля за графиком, главное, чтобы задачи выполнялись вовремя; Дружная команда: ценим юмор, проводим корпоративы, организовываем клубы по интересам, квизы и другие мероприятия для общения с коллегами не только по рабочим задачам; Обучение и развитие: лекции, воркшопы, обмен опытом внутри команды, софинансирование профессионального обучения, возможность роста; Здоровые взаимоотношения: для нас важны честность и открытость, каждому из наших сотрудников предоставляется всесторонняя поддержка, возможность получения карьерных консультаций и индивидуальный план развития внутри компании; И дополнительные бонусы: программа лояльности, корпоративный университет, скидки от партнеров, доступ к сервису по отслеживанию здоровья, программа материальной помощи и другие различные мероприятия для сотрудников ",2023-11-27 00:00:00 +0700 +07,0,Санкт-Петербург,Kokoc Group,Python;SQL,3-6,Удаленная работа
Руководитель направления (аналитика данных),"Ключевые задачи:  Постановка и контроль исполнения задач в части сбора, обработки и интерпретации первичной информации из различных систем; Взаимодействие с владельцами данных, в том числе их выявлению, интервьюированию, содействие в составлении карты взаимодействий между владельцами данных; Постановка и контроль задач по проектированию процедур получения данных из внутренних и внешних источников; Постановка и контроль задач по проектированию функционального дизайна и модели данных; Тестирование и приемка задач у исполнителей после реализации задач.  Ожидания от кандидата:  Опыт на позиции тимлида аналитики; Продвинутые знания в языке запросов SQL; Отличные коммуникативные навыки и сильное продуктовое мышление; Понимание маркетинговых и продуктовых метрик (ROMI, CAC, MAU, Retention и прочее) Знание принципов работы банковского сектора и различных клиентских сегментов; Опыт проведения AB-тестов (будет преимуществом); Опыт работы с Python, Go (будет преимуществом); Опыт работы с BI инструментами (мы используем PowerBI), опыт работы с Apache Superset как плюс.  Что мы предлагаем:  Возможность комбинировать удалёнку и офис (м. Войковская); Уровень оплаты обсуждается с успешным кандидатом; Возможность обследоваться и лечиться бесплатно по корпоративному ДМС (включая стоматологические услуги); Корпоративные скидки и специальные предложения на отдых в Крыму и на юге России – для всей семьи; Обучение в рамках профессии. ",2023-12-21 00:00:00 +0700 +07,0,Москва,РНКБ Банк (ПАО),Python;SQL,3-6,Полный день
